"ID";"Partner Abbreviation";"Water Resource";"Passive Sampler Type";"VPS: Number of nitrocelluloce filters";"VPS: Number of nylon filters";"CPS: Number of installed CPS";"CPS: sorbent";"DGTs: Number of installed DGTs";"Passive sampler Case Type";"3D printed case material";"Passive samplers installation depth (m.)";"Installation/Collection";"Date_Time";"Location";"_Location_latitude";"_Location_longitude";"_Location_altitude";"_Location_precision";"Elevation (m.)";"Air Temperature (oC)";"Air Humidity (%)";"Well diameter (cm.)";"Well casing material";"Well Depth (m.)";"Top(m.)";"Bottom(m.)";"Groundwater level (m.)";"Distance of piezometer from ground (m.)";"EC (μS/cm)";"pH";"DO (mg/l)";"Water Temperature (oC)";"Picture";"Picture_URL";"Comments";"_uuid"
"IR";"NTUA";"Dug Well";"VPS";"3";"3";"0";"Nan";"0";"3D Printed";"PLA";"7.0";"Collection";"2024-04-10T11:32:00.000+03:00";"38.0617324 23.7759313 254.89999389648438 2.72";"38.0617324";"23.7759313";"254.89999389648438";"2.72";"";"";"";"57.0";"";"";"";"";"4.7";"0.79";"1438.0";"7.02";"3.32";"19.8";"1712738040956.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Fc53fc34a-95e8-49f7-8a4a-59a66f6f1940%2F1712738040956.jpg";"";"c53fc34a-95e8-49f7-8a4a-59a66f6f1940"
"REN";"NTUA";"Dug Well";"VPS";"3";"3";"0";"Nan";"0";"3D Printed";"PLA";"14.0";"Collection";"2024-04-10T12:58:00.000+03:00";"37.9733102 23.6817964 64.69999694824219 4.78";"37.9733102";"23.6817964";"64.69999694824219";"4.78";"0.0";"";"";"";"";"";"";"";"10.5";"1.6";"1194.0";"7.17";"2.09";"22.0";"1712743204396.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F28180d2e-d137-48a5-a8fa-52854f165736%2F1712743204396.jpg";"";"28180d2e-d137-48a5-a8fa-52854f165736"
"RIZ";"NTUA";"Well";"VPS";"3";"3";"0";"Nan";"0";"3D Printed";"PLA";"15.0";"Collection";"2024-04-10T14:06:00.000+03:00";"37.9751986 23.7470883 132.1999969482422 4.6";"37.9751986";"23.7470883";"132.1999969482422";"4.6";"0.0";"";"";"6.5";"Steel";"";"";"";"10.67";"0.0";"1310.0";"7.39";"1.95";"21.5";"1712747277245.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F839dbf6d-55a7-48a2-8056-e11ac9970e45%2F1712747277245.jpg";"";"839dbf6d-55a7-48a2-8056-e11ac9970e45"
"ATH35";"NTUA";"Well";"CPS and DGTs";"0";"0";"2";"300 mg oasis 100 mg porapak";"2";"Custom";"";"25.5";"Installation";"2024-10-22T15:31:00.000+03:00";"38.1048179 23.7672666 266.0 4.2";"38.1048179";"23.7672666";"266.0";"4.2";"";"";"";"";"Steel";"";"";"";"18.4";"";"";"";"";"";"1729600366021.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Fb5b4f0d8-27a5-47fd-99f7-764577cfd14c%2F1729600366021.jpg";"Ολυμπιακο χωριο";"b5b4f0d8-27a5-47fd-99f7-764577cfd14c"
"ATH30";"NTUA";"Dug Well";"CPS and DGTs";"0";"0";"2";"300 mg oasis 100 mg porapak";"2";"3D Printed Custom";"PLA";"8.5";"Installation";"2024-10-22T16:30:00.000+03:00";"38.0616486 23.7759227 255.90000915527344 4.14";"38.0616486";"23.7759227";"255.90000915527344";"4.14";"";"";"";"";"";"";"";"";"5.4";"";"1607.0";"6.98";"4.2";"20.6";"1729603923790.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Fb654c9d6-d149-4d0f-929d-c48282b0bdc4%2F1729603923790.jpg";"IR";"b654c9d6-d149-4d0f-929d-c48282b0bdc4"
"ATH7";"NTUA";"Dug Well";"All of them";"3";"2";"2";"300 mg oasis 100 mg porapak";"2";"3D Printed Custom";"PLA";"16.7";"Installation";"2024-10-23T14:08:00.000+03:00";"37.9928092 23.7065597 73.5 2.02";"37.9928092";"23.7065597";"73.5";"2.02";"";"";"";"";"";"";"";"";"12.7";"1.25";"1079.0";"7.17";"4.86";"21.0";"1729681814211.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Ff4d35ca4-e53f-436b-bf11-b1069ba48b2a%2F1729681814211.jpg";"Academia platwnos";"f4d35ca4-e53f-436b-bf11-b1069ba48b2a"
"Answering (Ren)";"NTUA";"Dug Well";"All of them";"3";"0";"2";"300 mg oasis 100 mg porapak";"2";"3D Printed Custom";"PLA";"14.0";"Installation";"2024-10-23T15:04:00.000+03:00";"37.9732939 23.681795 59.099998474121094 4.866";"37.9732939";"23.681795";"59.099998474121094";"4.866";"";"";"";"";"";"";"";"";"10.7";"1.6";"1392.0";"7.11";"2.53";"20.7";"1729685109708.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Fc128beba-f36d-4986-8f90-b88ea9076584%2F1729685109708.jpg";"";"c128beba-f36d-4986-8f90-b88ea9076584"
"ATH14";"NTUA";"Well";"All of them";"3";"0";"2";"300 mg oasis 100mg porapak";"2";"3D Printed Custom";"PLA";"15.7";"Installation";"2024-10-23T16:23:00.000+03:00";"37.955489 23.7038454 61.5 4.725";"37.955489";"23.7038454";"61.5";"4.725";"";"";"";"45.0";"Steel";"";"";"";"9.5";"0.45";"";"";"";"";"1729689941488.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F53e30f12-acbb-45ad-bb80-e5a9e0b8e99a%2F1729689941488.jpg";"Kallithe";"53e30f12-acbb-45ad-bb80-e5a9e0b8e99a"
"RIZ";"NTUA";"Well";"All of them";"3";"0";"2";"300 mg oasis 100 mg porapak";"2";"3D Printed Custom";"PLA";"14.5";"Installation";"2024-10-23T19:08:00.000+03:00";"37.9750715 23.7471533 138.40000915527344 4.622";"37.9750715";"23.7471533";"138.40000915527344";"4.622";"";"";"";"";"Steel";"";"";"";"11.0";"";"";"";"";"";"1729699768992.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F9add8a42-5632-428e-893e-e7b7f6a643e4%2F1729699768992.jpg";"";"9add8a42-5632-428e-893e-e7b7f6a643e4"
"ATH36";"NTUA";"Dug Well";"CPS and DGTs";"0";"0";"2";"300 mg oasis 100 mg porapak";"2";"Custom";"";"13.5";"Installation";"2024-10-24T11:19:00.000+03:00";"38.0118522 23.8024963 229.00001525878906 3.774";"38.0118522";"23.8024963";"229.00001525878906";"3.774";"";"";"";"";"";"15.0";"";"";"12.6";"";"1362.0";"7.56";"7.26";"20.7";"";"";"Xalandri";"9027c738-1784-441b-978a-a716b76dbea2"
"ATH22";"NTUA";"Well";"CPS and DGTs";"0";"0";"2";"300 mg oasis 100 mg porapak";"2";"Custom";"";"13.5";"Installation";"2024-10-24T12:50:00.000+03:00";"38.041222 23.7036323 142.70001220703125 4.86";"38.041222";"23.7036323";"142.70001220703125";"4.86";"";"";"";"4.0";"Steel";"";"";"";"10.15";"0.38";"1100.0";"7.15";"5.19";"21.8";"";"";"The well is underneath the ground surface";"7ef365fe-0ab1-4217-b43b-96a9ed9bbc42"
"Dekeleias";"NTUA";"River";"CPS and DGTs";"0";"0";"2";"300 mg oasis and 100 mg porapak";"2";"Custom";"";"";"Installation";"2024-10-25T11:58:00.000+03:00";"38.0920204 23.7706263 244.40000915527344 3.76";"38.0920204";"23.7706263";"244.40000915527344";"3.76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1729846759483.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F2795b542-b8fb-49a1-b1ad-63a840926bb1%2F1729846759483.jpg";"";"2795b542-b8fb-49a1-b1ad-63a840926bb1"
"Agfan";"NTUA";"River";"CPS and DGTs";"0";"0";"2";"300 mg oasis and 100 mg porapak";"2";"Custom";"";"";"Installation";"2024-10-25T12:48:00.000+03:00";"38.074408 23.7581039 185.8000030517578 4.25";"38.074408";"23.7581039";"185.8000030517578";"4.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1729849764797.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F8482eccf-90f5-4b73-8a46-a24260cdb74a%2F1729849764797.jpg";"";"8482eccf-90f5-4b73-8a46-a24260cdb74a"
"KM";"NTUA";"River";"CPS and DGTs";"0";"0";"2";"300 mg oasis and 100 mg porapak";"2";"Custom";"";"";"Installation";"2024-10-25T13:18:00.000+03:00";"38.0495859 23.7373848 145.20001220703125 4.5";"38.0495859";"23.7373848";"145.20001220703125";"4.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1729851602771.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2Fb8f8f949-a4fb-4c13-b18d-357879dd7118%2F1729851602771.jpg";"";"b8f8f949-a4fb-4c13-b18d-357879dd7118"
"Ath1";"NTUA";"Well";"VPS DGTs CPS";"3";"3";"2";"Porapack";"2";"Custom";"PLA";"15.0";"Installation";"2024-10-28T10:45:00.000+02:00";"37.9295254 23.7476211 145.10000610351562 4.88";"37.9295254";"23.7476211";"145.10000610351562";"4.88";"25.0";"20.0";"";"";"Plastic (PVC, etc.)";"";"";"";"";"";"";"";"";"";"";"";"Well ";"a243c449-9318-43a4-96c8-dabf06667ac0"
"Aigalew ";"NTUA";"Dug Well";"CPS";"0";"0";"2";"300 mg oasis 100 mg porapak";"0";"Custom";"";"10.0";"Installation";"2024-10-29T11:34:00.000+02:00";"37.984222 23.6664544 72.0 4.651";"37.984222";"23.6664544";"72.0";"4.651";"";"";"";"";"";"";"";"";"7.35";"0.81";"";"";"";"";"1730194537028.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F40e2a0bb-dc05-4bcc-ad93-babd4e9af72b%2F1730194537028.jpg";"";"40e2a0bb-dc05-4bcc-ad93-babd4e9af72b"
"ATH34";"NTUA";"Dug Well";"CPS";"0";"0";"2";"300 mg oasis 100 mg porapak";"0";"Custom";"";"25.0";"Installation";"2024-10-30T14:21:00.000+02:00";"38.0594433 23.8756325 548.0 2.74";"38.0594433";"23.8756325";"548.0";"2.74";"";"";"";"";"";"";"";"";"20.55";"0.7";"";"";"";"";"1730290965631.jpg";"https://kc-eu.kobotoolbox.org/media/original?media_file=upwater%2Fattachments%2Fdbccd49887044cbb9dd2e9b522914445%2F969ee5e8-f21a-4ea0-9881-9a1146d805db%2F1730290965631.jpg";"Dug well penteli";"969ee5e8-f21a-4ea0-9881-9a1146d805db"
"Marina";"NTUA";"River";"CPS and DGTs";"0";"0";"2";"300 mg oasis 100 mg porapak";"2";"Custom";"";"";"Installation";"2024-10-25T14:10:00.000+03:00";"37.940369 23.670528 236.60000610351562 11.482";"37.940369";"23.670528";"236.60000610351562";"11.482";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1dcad519-29a8-4b1a-b4da-94bd2860ebea"
